,T1R7,T2R7,T2R9,T3R7,T3R9,T4R7,T4R9,T5R7,T5R9,Kingdom,Phylum,Class,Order,Family,Genus,Species
ac09a700281e0e84b375bb5ae517a23e,7788.105769,0,0,0,0,0,0,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Geobacillus,NA
896c05c0ef629cc4725eb1d8db95f2e5,0,63732.76471,360168.8043,420760,186279.1886,331858.5628,243266.6016,698137.9387,201325.4463,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,NA
473b630262c9e46dc6f8f08886406faf,0,0,8571.282862,0,12545.33311,0,0,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,NA
af2a8d6190dac41427b5208bd79874e0,4741.518939,0,0,0,0,0,0,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,NA
3112a0cc9050d0bee3e65ae6ac080099,1652.022436,0,0,0,0,0,0,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,NA
2424b82f393cce6b25e2f0fef86314f2,27076.00408,0,28687.55897,0,56644.07979,0,0,0,65908.7774,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,NA
92eb684563a59988b1e9cc61e7c6eaa1,33791.36801,0,0,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,NA
157f6ba228fbb1d6d88977bcc75d3c63,16005.30828,0,0,0,0,0,0,0,0,k__Bacteria,p__[Thermi],c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,NA
4c6043796448a2d50aaf470a409f36f7,3668.777098,0,0,0,0,0,0,0,0,k__Bacteria,p__[Thermi],c__Deinococci,o__Thermales,f__Thermaceae,g__Thermus,NA
04f7a79aa778df478752a5e08bb5e68d,6329.176865,0,0,0,0,0,0,0,0,k__Bacteria,p__[Thermi],c__Deinococci,o__Thermales,f__Thermaceae,g__Meiothermus,NA
7e2c443c0ab5d9675d2e14bf13cdbab5,0,0,0,0,0,226267.2019,363233.6928,0,552688.9627,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Promicromonosporaceae,g__Promicromonospora,NA
ba2bf0826df666849c91fc7512a57e78,16606.04371,0,699.6965601,0,0,0,0,0,0,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,NA
0c00cc21bf4cb3fbc403e974cad42402,0,0,39707.77979,0,128114.4623,0,326577.0816,0,47913.20678,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,NA
178902d35f055b7cc539fe7326a49c89,4805.88345,0,0,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,NA
8f1d6c5f6a03b21a67f492d2004679fa,1351.65472,0,67695.64219,0,94280.07911,0,177729.024,310283.5283,21369.74011,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,NA
SH1726759.08FU_AF444541_refs,1018.76923,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula,NA
SH1715510.08FU_KU204769_reps,0,269.7549628,314.8668639,1052.312617,0,0,702.6704481,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Trichosphaeriales,f__Trichosphaeriaceae,g__Nigrospora,NA
SH1676198.08FU_KF984792_refs,0,0,2.209592027,0,41.15917212,0,884.844268,0,20905.41316,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces,NA
SH1694434.08FU_EU037063_reps,0,0,354.8604796,0,336.133239,0,65.06207853,0,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Thermoascaceae,g__Byssochlamys,NA
SH1692811.08FU_FJ430773_reps,0,6657.640927,2331.782467,83850.1826,8444.490148,231282.2961,2914.781118,223494.7772,78300.27474,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,NA
SH1695393.08FU_U65307_reps,0,16895.06288,371.2114606,302252.883,3066.358323,581303.8356,897.8566837,436293.8921,12163.14947,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,NA
SH1685996.08FU_AJ292429_refs,0,0,11.93179695,239.1619584,3670.026181,0,58308.63478,0,557604.3837,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Cordycipitaceae,g__Lecanicillium,NA
SH1706045.08FU_GU054033_reps,0,0,1.325755216,0,404.7318592,3540.680313,1184.129829,8913.051932,7221.87,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Sarocladium,NA
SH1744621.08FU_KC181928_reps,0,446.6434631,259.406104,5979.048959,1317.093508,35406.80313,1014.968425,18494.58276,10642.75579,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,NA
SH1744611.08FU_EF679363_refs,0,413.4768693,375.4096855,4352.747642,2263.754467,15680.15567,2927.793534,15375.01458,34969.05474,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Mycosphaerella,NA
SH1670916.08FU_AY943061_refs,0,0,4.198224852,0,61.73875819,0,91.08690994,0,6081.574737,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,NA
SH1687332.08FU_KM277974_reps,0,35.37770004,0,2917.775892,0,4425.850391,0,668.4788949,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Paraphaeosphaeria,NA
SH1712306.08FU_GU237794_refs,0,0,113.1311118,0,8286.713321,0,5868.599483,0,83241.55421,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Didymella,NA
SH1664258.08FU_LN808981_reps,0,79.5998251,117.1083775,1147.9774,404.7318592,0,1353.291233,0,65376.92842,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporales_fam_Incertae_sedis,g__Chalastospora,NA
SH1688430.08FU_KC584249_refs,0,33.16659379,0,4831.071559,0,7713.624967,0,12478.2727,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,NA
SH1688498.08FU_KJ650604_reps,0,0,0,0,13.71972404,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,NA
SH1688806.08FU_KY788106_reps,0,0,0,0,54.87889617,0,130.1241571,891.3051932,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Curvularia,NA
SH1800509.08FU_HM365253_refs,0,106.1331001,13.92042977,453594.5702,2153.996675,2164240.841,5439.189765,2606399.211,458778.7942,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA