,control.gypsum.wet.tp1,control.gypsum.wet.tp3,loc1.gypsum.wet.tp2,control.plywood.wet.tp3,loc1.gypsum.wet.tp3,loc1.plywood.wet.tp1,loc2.gypsum.wet.tp2,loc2.plywood.wet.tp2,loc2.gypsum.wet.tp1,loc2.gypsum.wet.tp3,loc2.plywood.wet.tp1,control.gypsum.wet.tp2,loc2.plywood.wet.tp3
769222,0,11092.2855,699.5135,601.3361667,0,2821.72175,0,5735.48475,304.1744167,0,0,0,0
1101451,0,0,0,0,0,0,0,0,0,0,0,0,0
556428,0,583.8045,349.75675,0,0,0,0,0,0,0,0,0,0
590579,0,0,0,0,0,291.90225,0,0,0,0,0,0,0
922761,0,0,699.5135,48708.2295,101741.5212,97.30075,36360.67666,829733.4605,46538.68576,60242.313,110907.0765,0,37460.78875
1084865,0,0,0,0,0,0,0,0,0,0,0,0,0
4310452,0,0,0,0,0,0,0,0,0,0,0,0,0
974121,0,0,0,1202.672333,0,0,298.0383333,166329.0578,2737.56975,725.811,1214.9445,0,4378.53375
574655,0,11092.2855,0,2405.344667,0,0,0,0,0,725.811,0,2458.81625,0
988314,0,0,0,0,0,0,0,0,0,0,0,0,0
426919,0,0,0,0,0,0,0,0,0,0,0,0,0
667570,0,0,0,15033.40417,229.6648333,0,1192.153333,1911.82825,6996.011584,15967.842,520.6905,0,0
1051517,42692.23809,9340.872,5596.108,7216.034,1607.653833,0,894.1149999,0,2129.220917,9435.543,0,19670.53,0
590527,0,0,0,0,0,291.90225,0,0,0,0,0,0,0
4295826,0,0,0,0,0,291.90225,0,0,0,0,0,0,0
153978,0,0,0,0,0,0,0,0,0,725.811,0,0,0
589597,0,583.8045,1748.78375,8418.706334,16995.19766,0,35764.6,179711.8555,40759.37184,19596.897,21348.3105,0,376553.9025
1646259,0,1751.4135,0,601.3361667,0,1070.30825,0,1911.82825,0,0,0,0,0
245980,0,583.8045,0,0,0,0,0,0,0,0,0,0,0
467605,0,583.8045,0,0,0,0,0,0,0,0,0,0,0
1052264,0,0,0,0,0,0,0,0,0,0,0,0,0
3464844,0,0,0,0,0,0,0,0,0,0,0,0,0
1011712,0,0,0,0,0,0,0,0,0,0,0,0,0
814277,0,0,0,0,0,0,0,0,0,0,0,0,0
1114878,0,0,0,0,0,0,0,0,0,0,0,0,0
1111294,0,0,0,1804.0085,0,0,0,0,304.1744167,0,0,0,0
1002005,0,0,0,0,0,0,0,0,0,0,0,0,0
1048878,0,0,0,601.3361667,0,0,0,0,0,0,0,0,0
1078248,205149.4273,245781.6945,135006.1055,38485.51467,21588.49433,0,16094.07,0,11558.62783,29032.44,0,278337.9995,0
1088305,0,0,0,0,0,0,0,0,0,0,0,0,0
984831,0,0,0,0,0,0,0,0,0,0,0,0,0
2979800,0,0,0,0,0,97.30075,0,0,0,0,0,491.76325,0
941487,0,0,0,12026.72333,0,0,6556.843333,19118.2825,912.5232501,14516.22,1388.508,0,4378.53375
1787644,0,0,0,0,0,0,0,0,0,0,0,0,0