sample_id,vlp_counts,vlp_counts_roundup,bacteria_counts,bacteria_counts_roundup,time_point,location,condition,material
control.gypsum.dry.tp0,15778.5,20000,37693.08333,40000,0,control,dry,gypsum
control.mdf.dry.tp0,36816.5,40000,49965.25,50000,0,control,dry,mdf
control.mfgypsum.dry.tp0,458453.0833,500000,980020.1667,1000000,0,control,dry,mfgypsum
control.plywood.dry.tp0,7012.666667,7000,14901.91667,10000,0,control,dry,plywood
control.gypsum.wet.tp0,4382.916667,4000,26297.5,30000,0,control,wet,gypsum
control.mdf.wet.tp0,13148.75,10000,29803.83333,30000,0,control,wet,mdf
control.mfgypsum.wet.tp0,26297.5,30000,89411.5,90000,0,control,wet,mfgypsum
control.plywood.wet.tp0,124474.8333,100000,2774386.25,3000000,0,control,wet,plywood
loc1.gypsum.dry.tp0,7889.25,8000,26297.5,30000,0,1,dry,gypsum
loc1.mdf.dry.tp0,38569.66667,40000,56977.91667,60000,0,1,dry,mdf
loc1.mfgypsum.dry.tp0,56101.33333,60000,215639.5,200000,0,1,dry,mfgypsum
loc1.plywood.dry.tp0,33310.16667,30000,78015.91667,80000,0,1,dry,plywood
loc1.gypsum.wet.tp0,16655.08333,20000,56977.91667,60000,0,1,wet,gypsum
loc1.mdf.wet.tp0,69250.08333,70000,2919022.5,3000000,0,1,wet,mdf
loc1.mfgypsum.wet.tp0,152525.5,200000,594323.5,600000,0,1,wet,mfgypsum
loc1.plywood.wet.tp0,563643.0833,600000,572408.9167,600000,0,1,wet,plywood
loc2.gypsum.dry.tp0,8765.833333,9000,56101.33333,60000,0,2,dry,gypsum
loc2.mdf.dry.tp0,27174.08333,30000,45582.33333,50000,0,2,dry,mdf
loc2.mfgypsum.dry.tp0,135870.4167,100000,408487.8333,400000,0,2,dry,mfgypsum
loc2.plywood.dry.tp0,14901.91667,10000,35063.33333,40000,0,2,dry,plywood
loc2.gypsum.wet.tp0,59607.66667,60000,2260708.417,2000000,0,2,wet,gypsum
loc2.mdf.wet.tp0,104313.4167,100000,3028595.417,3000000,0,2,wet,mdf
loc2.mfgypsum.wet.tp0,220022.4167,200000,693377.4167,700000,0,2,wet,mfgypsum
loc2.plywood.wet.tp0,37693.08333,40000,28927.25,30000,0,2,wet,plywood
control.gypsum.dry.tp1,6136.083333,6000,42076,40000,1,control,dry,gypsum
control.mdf.dry.tp1,10519,10000,111326.0833,100000,1,control,dry,mdf
control.mfgypsum.dry.tp1,104313.4167,100000,552247.5,600000,1,control,dry,mfgypsum
control.plywood.dry.tp1,5259.5,5000,15778.5,20000,1,control,dry,plywood
control.gypsum.wet.tp1,166550.8333,200000,377807.4167,400000,1,control,wet,gypsum
control.mdf.wet.tp1,31557,30000,72756.41667,70000,1,control,wet,mdf
control.mfgypsum.wet.tp1,87658.33333,90000,518937.3333,500000,1,control,wet,mfgypsum
control.plywood.wet.tp1,4382.916667,4000,41199.41667,40000,1,control,wet,plywood
loc1.gypsum.dry.tp1,8765.833333,9000,59607.66667,60000,1,1,dry,gypsum
loc1.mdf.dry.tp1,9642.416667,10000,95547.58333,100000,1,1,dry,mdf
loc1.mfgypsum.dry.tp1,153402.0833,200000,949339.75,900000,1,1,dry,mfgypsum
loc1.plywood.dry.tp1,8765.833333,9000,63114,60000,1,1,dry,plywood
loc1.gypsum.wet.tp1,37693.08333,40000,331348.5,300000,1,1,wet,gypsum
loc1.mdf.wet.tp1,3506.333333,4000,50841.83333,50000,1,1,wet,mdf
loc1.mfgypsum.wet.tp1,44705.75,40000,357646,400000,1,1,wet,mfgypsum
loc1.plywood.wet.tp1,5259.5,5000,97300.75,100000,1,1,wet,plywood
loc2.gypsum.dry.tp1,7012.666667,7000,50841.83333,50000,1,2,dry,gypsum
loc2.mdf.dry.tp1,8765.833333,9000,44705.75,40000,1,2,dry,mdf
loc2.mfgypsum.dry.tp1,58731.08333,60000,319076.3333,300000,1,2,dry,mfgypsum
loc2.plywood.dry.tp1,13148.75,10000,93794.41667,90000,1,2,dry,plywood
loc2.gypsum.wet.tp1,173563.5,200000,304174.4167,300000,1,2,wet,gypsum
loc2.mdf.wet.tp1,5259.5,5000,120091.9167,100000,1,2,wet,mdf
loc2.mfgypsum.wet.tp1,76262.75,80000,503158.8333,500000,1,2,wet,mfgypsum
loc2.plywood.wet.tp1,1753.166667,2000,173563.5,200000,1,2,wet,plywood
control.gypsum.dry.tp2,332225.0833,300000,2500015.667,3000000,2,control,dry,gypsum
control.mdf.dry.tp2,29803.83333,30000,197231.25,200000,2,control,dry,mdf
control.mfgypsum.dry.tp2,168304,200000,772269.9167,800000,2,control,dry,mfgypsum
control.plywood.dry.tp2,103436.8333,100000,344497.25,300000,2,control,dry,plywood
control.gypsum.wet.tp2,132364.0833,100000,491763.25,500000,2,control,wet,gypsum
control.mdf.wet.tp2,395339.0833,400000,1028232.25,1000000,2,control,wet,mdf
control.mfgypsum.wet.tp2,281383.25,300000,1229846.417,1000000,2,control,wet,mfgypsum
control.plywood.wet.tp2,973007.5,1000000,8353839.167,8000000,2,control,wet,plywood
loc1.gypsum.dry.tp2,56101.33333,60000,262975,300000,2,1,dry,gypsum
loc1.mdf.dry.tp2,16655.08333,20000,154278.6667,200000,2,1,dry,mdf
loc1.mfgypsum.dry.tp2,75386.16667,80000,1269292.667,1000000,2,1,dry,mfgypsum
loc1.plywood.dry.tp2,92917.83333,90000,361152.3333,400000,2,1,dry,plywood
loc1.gypsum.wet.tp2,176193.25,200000,349756.75,300000,2,1,wet,gypsum
loc1.mdf.wet.tp2,132364.0833,100000,479491.0833,500000,2,1,wet,mdf
loc1.mfgypsum.wet.tp2,189342,200000,928301.75,900000,2,1,wet,mfgypsum
loc1.plywood.wet.tp2,73633,70000,762627.5,800000,2,1,wet,plywood
loc2.gypsum.dry.tp2,281383.25,300000,1663755.167,2000000,2,2,dry,gypsum
loc2.mdf.dry.tp2,46458.91667,50000,346250.4167,300000,2,2,dry,mdf
loc2.mfgypsum.dry.tp2,213009.75,200000,1044010.75,1000000,2,2,dry,mfgypsum
loc2.plywood.dry.tp2,214762.9167,200000,468972.0833,500000,2,2,dry,plywood
loc2.gypsum.wet.tp2,84152,80000,298038.3333,300000,2,2,wet,gypsum
loc2.mdf.wet.tp2,806456.6667,800000,2699876.667,3000000,2,2,wet,mdf
loc2.mfgypsum.wet.tp2,221775.5833,200000,929178.3333,1000000,2,2,wet,mfgypsum
loc2.plywood.wet.tp2,500529.0833,500000,1911828.25,2000000,2,2,wet,plywood
control.gypsum.dry.tp3,79769.08333,80000,3166219,3000000,3,control,dry,gypsum
control.mdf.dry.tp3,38569.66667,40000,233171.1667,200000,3,control,dry,mdf
control.mfgypsum.dry.tp3,128857.75,100000,863434.5833,900000,3,control,dry,mfgypsum
control.plywood.dry.tp3,14025.33333,10000,66620.33333,70000,3,control,dry,plywood
control.gypsum.wet.tp3,184959.0833,200000,583804.5,600000,3,control,wet,gypsum
control.mdf.wet.tp3,21038,20000,436538.5,400000,3,control,wet,mdf
control.mfgypsum.wet.tp3,48212.08333,50000,203367.3333,200000,3,control,wet,mfgypsum
control.plywood.wet.tp3,34186.75,30000,601336.1667,600000,3,control,wet,plywood
loc1.gypsum.dry.tp3,19284.83333,20000,105190,100000,3,1,dry,gypsum
loc1.mdf.dry.tp3,21914.58333,20000,93794.41667,100000,3,1,dry,mdf
loc1.mfgypsum.dry.tp3,171810.3333,200000,1164979.25,1000000,3,1,dry,mfgypsum
loc1.plywood.dry.tp3,17531.66667,20000,76262.75,80000,3,1,dry,plywood
loc1.gypsum.wet.tp3,62237.41667,60000,229664.8333,200000,3,1,wet,gypsum
loc1.mdf.wet.tp3,35939.91667,40000,501405.6667,500000,3,1,wet,mdf
loc1.mfgypsum.wet.tp3,216516.0833,200000,1400780.167,1000000,3,1,wet,mfgypsum
loc1.plywood.wet.tp3,22791.16667,20000,1058912.667,1000000,3,1,wet,plywood
loc2.gypsum.dry.tp3,15778.5,20000,62237.41667,60000,3,2,dry,gypsum
loc2.mdf.dry.tp3,36816.5,40000,176193.25,200000,3,2,dry,mdf
loc2.mfgypsum.dry.tp3,186712.25,200000,1194783.083,1000000,3,2,dry,mfgypsum
loc2.plywood.dry.tp3,8765.833333,9000,84152,80000,3,2,dry,plywood
loc2.gypsum.wet.tp3,218269.25,200000,725811,700000,3,2,wet,gypsum
loc2.mdf.wet.tp3,13148.75,10000,215639.5,200000,3,2,wet,mdf
loc2.mfgypsum.wet.tp3,89411.5,90000,571532.3333,600000,3,2,wet,mfgypsum
loc2.plywood.wet.tp3,19284.83333,20000,486503.75,500000,3,2,wet,plywood